Hrs	YY	MM	DD	HH	MM	SEC	L1_phase	L2_phase	C1_range	P2_range	\fD\nP2-C1 (m)	\fD\nL2*\fl\n\d2\n-L1*\fl\n\d1\n (m)
19.458	2.0000	1.0000	16.000	19.000	27.000	30.000	4693465.025	26040.358	24039404.813	24039418.012	13.199	-3.500
19.462	2.0000	1.0000	16.000	19.000	27.000	45.000	4723012.389	49064.189	24045027.570	24045040.289	12.719	-3.500
19.467	2.0000	1.0000	16.000	19.000	28.000	0.0000	4752614.558	72130.747	24050660.430	24050674.027	13.597	-3.563
19.471	2.0000	1.0000	16.000	19.000	28.000	15.000	4782270.079	95238.842	24056303.211	24056317.348	14.137	-3.563
19.475	2.0000	1.0000	16.000	19.000	28.000	30.000	4811978.586	118388.219	24061957.336	24061970.781	13.445	-3.563
19.479	2.0000	1.0000	16.000	19.000	28.000	45.000	4841740.131	141578.985	24067621.180	24067634.086	12.906	-3.625
19.483	2.0000	1.0000	16.000	19.000	29.000	0.0000	4871554.718	164810.999	24073293.820	24073307.184	13.364	-3.625
19.487	2.0000	1.0000	16.000	19.000	29.000	15.000	4901421.769	188083.938	24078978.664	24078993.410	14.746	-3.688
19.492	2.0000	1.0000	16.000	19.000	29.000	30.000	4931342.290	211398.554	24084672.117	24084686.500	14.383	-3.688
19.496	2.0000	1.0000	16.000	19.000	29.000	45.000	4961315.773	234754.397	24090376.039	24090391.008	14.969	-3.688
19.500	2.0000	1.0000	16.000	19.000	30.000	0.0000	4991340.542	258150.206	24096089.203	24096104.078	14.875	-3.750
19.504	2.0000	1.0000	16.000	19.000	30.000	15.000	5021417.587	281586.785	24101813.109	24101826.719	13.610	-3.750
19.508	2.0000	1.0000	16.000	19.000	30.000	30.000	5051546.634	305063.841	24107546.688	24107560.695	14.007	-3.813
19.513	2.0000	1.0000	16.000	19.000	30.000	45.000	5081728.314	328581.963	24113289.055	24113302.711	13.656	-3.813
19.517	2.0000	1.0000	16.000	19.000	31.000	0.0000	5111962.322	352140.879	24119042.453	24119057.070	14.617	-3.813
19.521	2.0000	1.0000	16.000	19.000	31.000	15.000	5142249.540	375741.164	24124806.578	24124819.719	13.141	-3.875
19.525	2.0000	1.0000	16.000	19.000	31.000	30.000	5172589.278	399382.431	24130580.156	24130596.730	16.574	-3.875
19.529	2.0000	1.0000	16.000	19.000	31.000	45.000	5202983.384	423066.029	24136364.156	24136379.008	14.852	-3.875
19.533	2.0000	1.0000	16.000	19.000	32.000	0.0000	5233432.869	446792.786	24142158.695	24142172.598	13.903	-3.938
19.538	2.0000	1.0000	16.000	19.000	32.000	15.000	5263937.767	470562.720	24147962.625	24147975.590	12.965	-3.938
19.542	2.0000	1.0000	16.000	19.000	32.000	30.000	5294499.033	494376.621	24153778.633	24153794.141	15.508	-4.000
19.546	2.0000	1.0000	16.000	19.000	32.000	45.000	5325116.699	518234.436	24159605.547	24159620.105	14.558	-4.000
19.550	2.0000	1.0000	16.000	19.000	33.000	0.0000	5355790.497	542135.980	24165443.133	24165457.375	14.242	-4.000
19.554	2.0000	1.0000	16.000	19.000	33.000	15.000	5386519.931	566080.914	24171290.438	24171303.695	13.257	-4.062
19.558	2.0000	1.0000	16.000	19.000	33.000	30.000	5417305.460	590069.547	24177148.258	24177163.766	15.508	-4.062
19.563	2.0000	1.0000	16.000	19.000	33.000	45.000	5448148.120	614102.659	24183016.664	24183031.141	14.477	-4.125
19.567	2.0000	1.0000	16.000	19.000	34.000	0.0000	5479047.522	638180.017	24188898.055	24188913.340	15.285	-4.125
19.571	2.0000	1.0000	16.000	19.000	34.000	15.000	5510004.367	662302.159	24194788.906	24194804.250	15.344	-4.125
19.575	2.0000	1.0000	16.000	19.000	34.000	30.000	5541017.954	686468.469	24200690.477	24200704.449	13.972	-4.187
19.579	2.0000	1.0000	16.000	19.000	34.000	45.000	5572089.642	710680.092	24206604.438	24206615.797	11.359	-4.187
19.583	2.0000	1.0000	16.000	19.000	35.000	0.0000	5603217.642	734935.590	24212526.656	24212540.395	13.739	-4.187
19.587	2.0000	1.0000	16.000	19.000	35.000	15.000	5634402.219	759235.143	24218462.250	24218476.305	14.055	-4.250
19.592	2.0000	1.0000	16.000	19.000	35.000	30.000	5665643.107	783578.613	24224406.438	24224420.809	14.371	-4.250
19.596	2.0000	1.0000	16.000	19.000	35.000	45.000	5696941.251	807966.635	24230362.281	24230377.027	14.746	-4.312
19.600	2.0000	1.0000	16.000	19.000	36.000	0.0000	5728295.652	832398.561	24236329.219	24236343.133	13.914	-4.312
19.604	2.0000	1.0000	16.000	19.000	36.000	15.000	5759706.539	856874.506	24242307.031	24242321.379	14.348	-4.312
19.608	2.0000	1.0000	16.000	19.000	36.000	30.000	5791175.564	881395.729	24248295.133	24248310.020	14.887	-4.375
19.612	2.0000	1.0000	16.000	19.000	36.000	45.000	5822701.515	905961.284	24254294.039	24254309.160	15.121	-4.375
19.617	2.0000	1.0000	16.000	19.000	37.000	0.0000	5854283.058	930570.192	24260304.648	24260319.992	15.344	-4.375
19.621	2.0000	1.0000	16.000	19.000	37.000	15.000	5885921.712	955223.576	24266325.609	24266340.496	14.887	-4.437
19.625	2.0000	1.0000	16.000	19.000	37.000	30.000	5917617.465	979921.481	24272356.086	24272370.715	14.629	-4.437
19.629	2.0000	1.0000	16.000	19.000	37.000	45.000	5949371.249	1004664.560	24278398.867	24278413.309	14.442	-4.500
19.633	2.0000	1.0000	16.000	19.000	38.000	0.0000	5981182.878	1029452.780	24284452.648	24284467.395	14.747	-4.500
19.638	2.0000	1.0000	16.000	19.000	38.000	15.000	6013052.954	1054286.504	24290516.875	24290533.309	16.434	-4.500
19.642	2.0000	1.0000	16.000	19.000	38.000	30.000	6044982.309	1079166.403	24296593.828	24296608.855	15.027	-4.562
19.646	2.0000	1.0000	16.000	19.000	38.000	45.000	6076970.269	1104091.998	24302680.469	24302695.707	15.238	-4.562
19.650	2.0000	1.0000	16.000	19.000	39.000	0.0000	6109018.245	1129064.370	24308779.164	24308795.105	15.941	-4.562
19.654	2.0000	1.0000	16.000	19.000	39.000	15.000	6141124.941	1154082.459	24314888.914	24314904.797	15.883	-4.625
19.658	2.0000	1.0000	16.000	19.000	39.000	30.000	6173291.701	1179147.364	24321009.688	24321025.230	15.542	-4.625
19.663	2.0000	1.0000	16.000	19.000	39.000	45.000	6205518.097	1204258.756	24327142.477	24327157.398	14.921	-4.687
19.667	2.0000	1.0000	16.000	19.000	40.000	0.0000	6237804.573	1229416.900	24333286.250	24333300.188	13.938	-4.687
19.671	2.0000	1.0000	16.000	19.000	40.000	15.000	6270150.165	1254621.180	24339441.875	24339457.055	15.180	-4.750
19.675	2.0000	1.0000	16.000	19.000	40.000	30.000	6302556.311	1279872.623	24345609.227	24345623.305	14.078	-4.750
19.679	2.0000	1.0000	16.000	19.000	40.000	45.000	6335022.750	1305171.036	24351786.648	24351805.473	18.825	-4.750
19.683	2.0000	1.0000	16.000	19.000	41.000	0.0000	6367550.345	1330517.147	24357977.102	24357991.367	14.265	-4.812
19.688	2.0000	1.0000	16.000	19.000	41.000	15.000	6400137.518	1355909.663	24364177.055	24364193.699	16.644	-4.812
19.692	2.0000	1.0000	16.000	19.000	41.000	30.000	6432783.683	1381348.112	24370391.133	24370406.254	15.121	-4.812
19.696	2.0000	1.0000	16.000	19.000	41.000	45.000	6465489.633	1406833.171	24376613.570	24376630.238	16.668	-4.875
19.700	2.0000	1.0000	16.000	19.000	42.000	0.0000	6498255.195	1432364.710	24382850.273	24382867.996	17.723	-4.875
19.704	2.0000	1.0000	16.000	19.000	42.000	15.000	6531079.693	1457942.093	24389095.727	24389109.324	13.597	-4.937
19.708	2.0000	1.0000	16.000	19.000	42.000	30.000	6563963.646	1483565.893	24395353.508	24395369.684	16.176	-4.937
19.712	2.0000	1.0000	16.000	19.000	42.000	45.000	6596907.449	1509236.310	24401621.273	24401637.637	16.364	-4.937
19.717	2.0000	1.0000	16.000	19.000	43.000	0.0000	6629911.169	1534953.375	24407902.172	24407919.566	17.394	-5.000
19.721	2.0000	1.0000	16.000	19.000	43.000	15.000	6662974.553	1560716.987	24414194.633	24414209.508	14.875	-5.000
